,Forest Joystick Mouse Hub,,,,,,,,Total filament (g),Unit Cost,Total Cost,Total Print time (hr),,,,
,Part,Description,,,,QTY, Mass (g),,Estimated Price/part,Price Per Unit,Total Price,Print Time (hr:Min),Link,,,
,Forest Enclosure Top,Forest_Enclosure_Top.stl,,,,1,25,, $0.75 , $0.75 , $0.75 ,0:36,,,,
,Forest Enclosure Bottom,Forest_Enclosure_Bottom.stl,,,,1,13,, $0.39 , $0.39 , $0.39 ,1:12,,,,
,Forest LED Spacer,Forest_LED_Spacer.stl,,,,1,3,, $0.09 , $0.09 , $0.09 ,,,,,
,,,,,,,,,,,,,,,,
,Alternatives,,,,,,,,,,,,,,,
,Part,Description,Manufacturer,Supplier,,,,,,,,,,,,
,"Screw, #4, 3/8"" Length",,,Amazon,,1,100,1, $9.30 , $0.09 , $9.30 ,,https://a.co/d/523bJeL ,,,
,,,,,,,,,,,,,,,,
,Adafruit QT Py RP2040,U1 Alt,Adafruit,Mouser,485-4900,1,1,1, $14.43 , $14.43 , $14.43 ,,,,,
,,,,,,,,,,,,,,,,
,Neopixels,"L1,L2,L3,L4,L5",Adafruit,Digikey,1528-1959-ND,5,5,1, $7.18 , $7.18 , $7.18 ,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/1938/6827082?s=N4IgTCBcDaIKwFsEAIB2BTA9gBwJYA90AbEAXQF8g,,,
